"sample_id","genotype","utilization_of_fruit","berry_skin_colour_oiv_225","presence_of_seeds_oiv_241","berry_flavour_oiv_236","sex_of_flower_oiv_151","time_of_bud_burst_day_chasselas_oiv_301","time_of_full_bloom_day_chasselas_oiv_302","time_of_veraison_week_chasselas_oiv_303","time_of_maturity_week_chasselas_oiv_304","fertility_inflorescence_10_buds_oiv_155","bunch_weight_g_oiv_502","berry_weight_g_oiv_503","bunch_susceptibility_to_botrytis_0_to_5_oiv_459","acidity_of_must_g_h2so4_l_oiv_506","acidity_of_wine_g_h2so4_l","wine_alcohol"
"B00EQYT","C 50-171 (Ramming)","table","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B001759","Cabernet franc","wine","N","seed","none","H",5,0,2.8,2.7,14,172,1.7,0.1,5.7,3.1,9.6
"B00EQVC","Cacaboué","wine","B","seed","none","H",-3,-4,1.3,2,11,282,2.1,0,3.5,4.5,11.6
"B00EQUF","Cahours","wine","N","seed","none","H",5,5,4,3.8,22,NA,NA,NA,NA,NA,NA
"B00FQHB","Cainho","wine","B","seed","none","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00ERRS","Calabre","wine","B","seed","none","H",7,5,2,2.3,6,422,4.1,1.1,6.4,NA,9.3
"B00ER7I","Calabrese = Nero d'Avola","wine","N","seed","none","H",4,NA,2.5,3.8,11,236,2.4,0,6.6,4.6,9
"B00FQH7","Callet","wine","N","seed","none","H",1,3.7,2.3,2.7,20,428,2.9,0.2,6,3.9,9
"B00ERAZ","Camaralet","wine","B","seed","none","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00EQVT","Camaraou noir","wine","N","seed","none","H",7,4,3.7,3,9,296,2.5,0.3,7.3,3.8,9.5
"B00FQFK","Camarate","wine","N","seed","none","H",7,NA,2.6,3.4,15,308,2.1,1.2,6,3.5,10.3
"B00F6NT","Canella",NA,NA,NA,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00FQFW","Cañocazo","wine","B","seed","none","H",1,NA,3.3,2.7,10,84,2.6,0.2,NA,NA,NA
"B00FQI5","Cañorroyo","wine","B","seed","none","H",12,5,3.7,4,15,536,2.5,0.2,4.1,3.7,9.6
"B00EQSL","Caprugnone","table","N",NA,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00EI4M","Carcajolo","wine","N","seed","none","H",3,2,2.6,2.6,8,235,3,0.4,5.4,3.7,8.7
"B00ER16","Cardinal","table","Rg","seed","none","H",9,3,0,-0.6,17,390,7.4,0.2,3.7,3.4,11
"B00CW9C","Carignan","wine","N","seed","none","H",9,4,3.4,4.6,16,281,2.6,0.3,6.5,3.1,10
"B00F6NV","Carina (Australie)","wine-table","N","seedless","none","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00FQHT","Carrasquin","wine","N","seed","none","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00EQUM","Casetta","wine","N","seed","none","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00ERD4","Castañal",NA,"N","seed",NA,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00ER3A","Castelão = Periquita","wine-table","N","seed","none","H",0,-2,1.9,3.1,13,271,3,0.2,5.8,4,11.2
"B00DWXT","Castellana blanca","wine","B","seed","none","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00FQJO","Castets = Maturana tinta de Navarrete","wine","N","seed","none","H",14,4,2.4,2,9,288,1.5,0.1,5.9,3.3,9.3
"B00FQFX","Castillon de Arcos",NA,"B","seed",NA,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
